Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_MOM,R2,Adj_R2,t_Alpha,t_MKT,t_SMB,t_HML,t_MOM,p_Alpha,p_MKT
AAPL,0.000234,1.1842,-0.3234,-0.3193,-0.0151,0.6282,0.6274,0.847,52.195,-7.955,-11.168,-0.625,0.3972,0.0
AMZN,-6.5e-05,1.0778,-0.1733,-0.7156,-0.1317,0.5568,0.5559,-0.195,39.354,-3.531,-20.733,-4.518,0.8452,0.0
BAC,-0.000319,1.2097,-0.0678,0.9819,-0.1449,0.7696,0.7691,-1.381,63.821,-1.998,41.108,-7.181,0.1676,0.0
CAT,0.000421,1.0244,0.3132,0.6826,0.085,0.5224,0.5213,1.288,38.135,6.509,20.164,2.972,0.198,0.0
CVX,-0.000218,0.9584,-0.1103,0.9084,-0.0721,0.5282,0.5272,-0.671,35.851,-2.303,26.965,-2.533,0.5025,0.0
DE,0.000138,0.9361,0.2792,0.5933,0.0629,0.4392,0.438,0.394,32.488,5.408,16.338,2.05,0.694,0.0
GOOGL,0.000314,1.0985,-0.2218,-0.4011,-0.0653,0.5561,0.5551,1.02,43.522,-4.904,-12.61,-2.432,0.3077,0.0
JNJ,2.9e-05,0.4434,-0.3736,0.1391,-0.0535,0.2264,0.2247,0.116,21.828,-10.264,5.433,-2.473,0.9079,0.0
JPM,-5.7e-05,1.1176,-0.1838,0.8307,-0.0786,0.7242,0.7236,-0.249,59.422,-5.454,35.048,-3.925,0.8033,0.0
MSFT,-2.6e-05,1.1321,-0.4323,-0.4564,0.0033,0.708,0.7074,-0.113,60.516,-12.898,-19.36,0.166,0.9099,0.0
NVDA,0.00103,1.7466,-0.0831,-0.8968,0.174,0.6048,0.6039,2.192,45.281,-1.203,-18.451,4.238,0.0285,0.0
PG,-9.4e-05,0.5173,-0.4949,0.0742,-0.0359,0.2736,0.272,-0.371,24.955,-13.325,2.842,-1.626,0.7104,0.0
XOM,1.5e-05,0.8164,-0.0915,0.9155,-0.1228,0.4909,0.4898,0.046,30.436,-1.903,27.082,-4.3,0.9636,0.0
